datetime,code,open,close,high,low,vol,amount,p_change
2010-01-05,600519,170.99,169.44,171.5,169.0,31513.0,535720416.0,-0.29
2010-01-06,600519,168.99,166.76,169.5,166.31,39889.0,666073280.0,-1.58
2010-01-07,600519,166.76,163.72,167.19,161.88,48825.0,801445248.0,-1.82
2010-01-08,600519,164.0,162.0,164.0,160.1,36702.0,593162176.0,-1.05
2010-01-11,600519,163.6,161.29,164.9,160.5,24461.0,395563872.0,-0.44
2010-01-12,600519,161.45,165.65,166.17,160.61,31063.0,509373856.0,2.7
2010-01-13,600519,163.99,161.44,165.15,161.0,37924.0,621261824.0,-2.54
2010-01-14,600519,162.0,168.54,169.2,162.0,46454.0,775471616.0,4.4
2010-01-15,600519,168.51,169.87,173.38,168.51,45938.0,788328960.0,0.79
2010-01-18,600519,170.0,170.98,172.26,169.9,21461.0,368485888.0,0.65
2010-01-19,600519,170.99,169.77,171.5,169.5,17818.0,302797504.0,-0.71
2010-01-20,600519,169.91,165.92,170.15,165.8,20972.0,353315680.0,-2.27
2010-01-21,600519,165.86,166.73,168.38,165.5,17257.0,287779648.0,0.49
2010-01-22,600519,166.6,164.13,167.29,161.89,25432.0,416305088.0,-1.56
2010-01-25,600519,163.85,166.04,167.3,162.51,23239.0,385581312.0,1.16
2010-01-26,600519,168.27,166.7,170.17,164.6,32889.0,553152640.0,0.4
2010-01-27,600519,166.03,163.98,167.78,163.6,19316.0,320765888.0,-1.63
2010-01-28,600519,163.86,169.2,170.35,163.5,30267.0,507716288.0,3.18
2010-01-29,600519,169.95,168.54,170.2,167.68,37172.0,628192896.0,-0.39
2010-02-01,600519,168.88,168.89,169.58,167.01,29655.0,499867008.0,0.21
2010-02-02,600519,168.0,166.52,170.0,166.29,15493.0,260426288.0,-1.4
2010-02-03,600519,166.21,165.93,168.1,164.2,23034.0,382974400.0,-0.35
2010-02-04,600519,165.9,168.6,169.25,165.13,22475.0,376703456.0,1.61
2010-02-05,600519,167.61,171.25,171.88,167.0,26234.0,445744672.0,1.57
2010-02-08,600519,171.25,171.23,175.6,170.52,31496.0,548228608.0,-0.01
2010-02-09,600519,172.0,171.11,173.33,170.53,14151.0,243172992.0,-0.07
2010-02-10,600519,172.0,171.83,172.59,170.7,6398.0,109830208.0,0.42
2010-02-11,600519,171.8,173.38,174.44,171.6,14945.0,259254544.0,0.9
2010-02-12,600519,173.97,173.09,174.2,172.2,9346.0,161899968.0,-0.17
2010-02-22,600519,173.0,169.08,173.1,169.07,12178.0,207127840.0,-2.32
2010-02-23,600519,169.25,166.75,170.5,164.7,23562.0,391601216.0,-1.38
