date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,vol_ma5,vol_ma10,vol_ma20,turnover_rate
2021-12-03,1932.0,1988.62,1971.88,1931.05,35818.39,37.88,1.96,1950.928,1934.338,1861.771,32363.76,37709.45,31570.75,0.29
2021-12-02,1940.0,1942.15,1934.0,1919.6,20421.82,1.01,0.05,1944.754,1919.991,1854.174,31731.2,37243.17,31133.69,0.16
2021-12-01,1950.0,1959.95,1932.99,1919.02,26254.4,2.22,0.12,1949.16,1905.791,1847.684,35597.41,37153.08,31669.12,0.21
2021-11-30,1985.4,1989.9,1930.77,1927.5,36924.87,-54.23,-2.73,1950.762,1891.992,1839.284,41249.0,36978.18,31747.87,0.29
2021-11-29,1960.0,1990.0,1985.0,1951.08,42399.34,43.99,2.27,1943.894,1879.715,1832.978,43020.47,36638.32,31526.63,0.34
2021-11-26,1964.83,1967.0,1941.01,1925.0,32655.57,-15.02,-0.77,1917.748,1857.329,1823.878,43055.14,34893.12,31491.17,0.26
2021-11-25,1953.0,1986.2,1956.03,1946.25,39752.88,15.03,0.77,1895.228,1840.606,1818.131,42755.14,33388.23,31297.18,0.32
2021-11-24,1900.0,1966.0,1941.0,1897.0,54512.35,44.57,2.35,1862.422,1821.963,1811.604,38708.74,31678.13,30784.08,0.43
2021-11-23,1852.0,1917.0,1896.43,1852.0,45782.2,42.16,2.27,1833.222,1803.262,1805.504,32707.36,29761.77,29790.83,0.36
2021-11-22,1849.0,1909.0,1854.27,1848.0,42572.68,25.86,1.41,1815.536,1792.62,1803.735,30256.17,27918.74,28558.23,0.34
2021-11-19,1794.19,1849.0,1828.41,1788.2,31155.59,36.41,2.03,1796.91,1789.203,1804.673,26731.11,25432.04,28052.67,0.25
2021-11-18,1781.22,1807.0,1792.0,1770.0,19520.89,-3.0,-0.17,1785.984,1788.356,1808.303,24021.31,25024.21,28293.02,0.16
2021-11-17,1805.0,1820.5,1795.0,1790.01,24505.46,-13.0,-0.72,1781.504,1789.576,1810.903,24647.51,26185.16,28467.91,0.2
2021-11-16,1768.0,1818.0,1808.0,1765.0,33526.24,46.86,2.66,1773.302,1786.576,1813.203,26816.17,26517.55,28675.8,0.27
2021-11-15,1773.68,1784.0,1761.14,1750.0,24947.35,-12.64,-0.71,1769.704,1786.24,1813.412,25581.31,26414.95,29015.22,0.2
2021-11-12,1778.0,1785.05,1773.78,1766.66,17606.63,4.18,0.24,1781.496,1790.426,1815.355,24132.98,28089.21,31250.45,0.14
2021-11-11,1752.93,1769.6,1769.6,1741.5,22651.87,15.61,0.89,1790.728,1795.656,1822.514,26027.1,29206.13,31798.16,0.18
2021-11-10,1790.01,1795.0,1753.99,1735.0,35348.77,-36.02,-2.01,1797.648,1801.245,1829.584,27722.81,29890.04,31996.69,0.28
2021-11-09,1819.98,1827.87,1790.01,1782.0,27351.92,-30.09,-1.65,1799.85,1807.746,1838.38,26218.92,29819.89,32736.39,0.22
2021-11-08,1820.0,1830.8,1820.1,1802.05,17705.72,0.16,0.01,1802.776,1814.85,1842.429,27248.59,29197.73,32899.11,0.14
2021-11-05,1804.21,1844.99,1819.94,1804.21,27077.23,15.74,0.87,1799.356,1820.143,1844.78,32045.44,30673.29,33897.6,0.22
2021-11-04,1777.94,1816.0,1804.2,1769.42,31130.43,39.2,2.22,1800.584,1828.249,1845.763,32385.16,31561.82,34916.34,0.25
2021-11-03,1800.0,1809.98,1765.0,1761.19,27829.31,-39.64,-2.2,1804.842,1832.229,1847.053,32057.26,30750.65,35386.78,0.22
2021-11-02,1796.7,1844.22,1804.64,1788.0,32500.24,1.64,0.09,1815.642,1839.829,1849.803,33420.86,30834.06,36159.85,0.26
2021-11-01,1780.0,1826.3,1803.0,1760.0,41689.98,-23.08,-1.26,1826.924,1840.583,1850.674,31146.86,31615.49,36995.89,0.33
2021-10-29,1825.0,1848.0,1826.08,1813.0,28775.86,0.59,0.03,1840.93,1840.283,1853.274,29301.13,34411.69,41254.84,0.23
2021-10-28,1825.2,1843.78,1825.49,1802.0,29490.93,6.49,0.36,1855.914,1849.372,1846.67,30738.48,34390.19,43292.87,0.23
2021-10-27,1852.3,1858.3,1819.0,1800.1,34647.29,-42.05,-2.26,1859.616,1857.923,1837.145,29444.04,34103.35,43335.42,0.28
2021-10-26,1864.03,1878.99,1861.05,1844.0,21130.26,-11.98,-0.64,1864.016,1869.013,1828.08,28247.26,35652.88,43190.2,0.17
2021-10-25,1880.0,1885.01,1873.03,1858.0,32461.33,-27.97,-1.47,1854.242,1870.007,1819.327,32084.12,36600.5,44890.2,0.26
2021-10-22,1855.0,1921.01,1901.0,1854.0,35962.6,57.0,3.09,1839.636,1869.416,1807.579,39522.25,37121.92,45565.54,0.29
2021-10-21,1841.1,1860.0,1844.0,1829.0,23018.7,3.0,0.16,1842.83,1863.276,1793.316,38041.89,38270.86,45845.91,0.18
2021-10-20,1833.0,1849.8,1841.0,1806.01,28663.39,28.82,1.59,1856.23,1861.876,1783.966,38762.66,40022.92,46383.01,0.23
2021-10-19,1800.0,1838.8,1812.18,1799.88,40314.56,12.18,0.68,1874.01,1859.776,1774.616,43058.5,41485.64,46335.84,0.32
2021-10-18,1888.0,1888.0,1800.0,1787.0,69652.02,-116.97,-6.1,1885.772,1860.764,1767.136,41116.88,42376.29,45989.51,0.55
2021-10-15,1890.1,1929.99,1916.97,1890.1,28560.78,5.97,0.31,1899.196,1866.264,1758.84,34721.59,48097.98,43504.42,0.23
2021-10-14,1928.93,1941.8,1911.0,1896.0,26622.55,-18.9,-0.98,1883.722,1843.967,1744.647,38499.82,52195.56,43729.56,0.21
2021-10-13,1870.0,1949.95,1929.9,1862.0,50142.61,58.91,3.15,1867.522,1816.367,1732.547,41283.17,52567.49,43959.0,0.4
